"star","hotelName","hotelId","location","freeCancelTag","favorityCountMsg","score","scoreDescription","totalReviews"
"5.0","Raffles Singapore (Staycation Approved)","687474","Marina Bay","Free Cancellation","4,248 people added to favourites","4.9","Perfect","38 reviews"
"5.0","Naumi Hotel Singapore (Staycation Approved)","992740","Marina Bay","Free Cancellation","2,034 people added to favourites","4.4","Excellent","131 reviews"
"4.0","Carlton Hotel Singapore (Staycation Approved)","687472","Marina Bay",NA,"Saved by 27k people","4.5","Excellent","1,198 reviews"
"5.0","Grand Park City Hall Singapore","905760","Marina Bay",NA,"6,644 people added to favourites","4.5","Excellent","721 reviews"
"4.0","Peninsula Excelsior Hotel Singapore","687485","Marina Bay",NA,"6,478 people added to favourites","4.2","Very Good","446 reviews"
"3.0","Victoria Hotel, a NuVe Group Collection","97209990","Bugis",NA,"60 people added to favourites","4.0","Very Good","7 reviews"
"5.0","PARKROYAL COLLECTION Marina Bay, Singapore (Staycation Approved)","995082","Marina Bay","Free Cancellation","7,261 people added to favourites","4.6","Outstanding","1,464 reviews"
"4.0","lyf Funan Singapore (Staycation Approved)","44320758","Marina Bay",NA,"3,704 people added to favourites","4.4","Excellent","759 reviews"
"5.0","Pan Pacific Singapore (Staycation Approved)","932167","Marina Bay","Free Cancellation","Saved by 22k people","4.6","Outstanding","702 reviews"
"5.0","Mandarin Oriental, Singapore (Staycation Approved)","1308129","Marina Bay","Free Cancellation","Saved by 11.7k people","4.6","Outstanding","751 reviews"
"5.0","Singapore Marriott Tang Plaza Hotel (Staycation Approved)","1706908","Orchard Road","Free Cancellation","4,253 people added to favourites","4.7","Outstanding","219 reviews"
"4.0","Yotel Singapore Orchard Road (Staycation Approved)","8497129","Orchard Road",NA,"Saved by 20.5k people","4.4","Excellent","1,951 reviews"
"4.0","York Hotel, a Member of The Goodwood Group of Hotels (Staycation Approved)","996342","Orchard Road",NA,"2,174 people added to favourites","4.1","Very Good","457 reviews"
"5.0","Orchard Hotel Singapore (Staycation Approved)","909897","Orchard Road","Free Cancellation","Saved by 15.2k people","4.3","Excellent","1,760 reviews"
"5.0","Ascott Orchard Singapore (Staycation Approved)","6401620","Orchard Road","Free Cancellation","5,227 people added to favourites","4.6","Outstanding","477 reviews"
"5.0","Hilton Singapore Orchard (SG Clean)","84720555","Orchard Road","Free Cancellation","83 people added to favourites","4.4","Excellent","25 reviews"
"4.0","Mercure Singapore on Stevens","10930412","Orchard Road",NA,"1,696 people added to favourites","3.8","","66 reviews"
"4.0","Ji Hotel Orchard Singapore (Staycation Approved)","47626297","Orchard Road","Free Cancellation","2,779 people added to favourites","4.4","Excellent","882 reviews"
"4.0","Four Points by Sheraton Singapore, Riverview","996054","Singapore River","Free Cancellation","6,873 people added to favourites","4.4","Excellent","297 reviews"
"4.0","Hotel Nuve Urbane Singapore (Staycation Approved)","8695392","Lavender",NA,"1,925 people added to favourites","4.2","Very Good","206 reviews"
"4.0","Hotel Clover 769 North Bridge Road Singapore (Staycation Approved)","998518","Bugis",NA,"1,332 people added to favourites","4.2","Very Good","214 reviews"
"4.0","V Hotel Lavender Singapore","996327","Lavender","Free Cancellation","Saved by 12.3k people","3.8","","553 reviews"
"3.0","Hotel NuVe Stellar","79568182","Lavender",NA,"56 people added to favourites","4.1","Very Good","46 reviews"
"4.0","Arcadia Hotel Singapore (Staycation Approved)","4397252","Lavender",NA,"856 people added to favourites","4.2","Very Good","266 reviews"
"3.0","Hotel Yan Singapore (Staycation Approved)","4065387","Lavender",NA,"927 people added to favourites","4.2","Very Good","155 reviews"
"3.0","L Hotel @ Broadway","1620002","Little India",NA,"72 people added to favourites","3.1","","9 reviews"
"4.0","Hotel Royal @ Queens Singapore (Staycation Approved)","932150","Bugis",NA,"5,258 people added to favourites","4.1","Very Good","973 reviews"
"5.0","The Ritz-Carlton, Millenia Singapore (Staycation Approved)","962739","Marina Bay","Free Cancellation","Saved by 23.1k people","4.7","Outstanding","641 reviews"
"4.0","Hotel Mi Singapore","10231080","Bugis","Free Cancellation","Saved by 18k people","4.1","Very Good","323 reviews"
"4.0","Studio M Hotel","996304","Singapore River","Free Cancellation","Saved by 15.8k people","4.0","Very Good","619 reviews"
"3.0","Lion Peak Hotel Raffles(Staycation Approved)","23967152","Bugis",NA,"3,684 people added to favourites","3.9","","225 reviews"
"4.0","Hotel Clover 5 HongKong Street (Staycation Approved)","995072","Singapore River",NA,"4,843 people added to favourites","3.7","","87 reviews"
"3.0","Hotel Clover the Arts (Staycation Approved)","1005152","Singapore River",NA,"2,976 people added to favourites","3.9","","40 reviews"
"4.0","Hotel Royal Singapore (Staycation Approved)","995074","Balestier",NA,"Saved by 11.8k people","3.8","","1,177 reviews"
"2.0","L Hotel @ 51 Desker","7301503","Little India",NA,"43 people added to favourites","3.5","","5 reviews"
"3.0","Hotel Chancellor@Orchard (Staycation Approved)","2064004","Orchard Road",NA,"3,023 people added to favourites","3.6","","715 reviews"
"4.0","Concorde Hotel Singapore (SG Clean)","995017","Orchard Road",NA,"3,213 people added to favourites","4.0","Very Good","31 reviews"
"4.0","Citadines Connect City Centre Singapore","91633420","Orchard Road","Free Cancellation","222 people added to favourites","4.6","Outstanding","66 reviews"
"2.0","Fragrance Hotel - Oasis(SG Clean) (Staycation Approved)","995027","Balestier",NA,"826 people added to favourites","4.2","Very Good","40 reviews"
"3.0","Ibis Singapore Novena","1115349","Balestier","Free Cancellation","2,255 people added to favourites","4.0","Very Good","28 reviews"
"4.0","Ramada by Wyndham Singapore At Zhongshan Park (Staycation Approved)","996045","Balestier","Free Cancellation","Saved by 12.6k people","4.4","Excellent","972 reviews"
"2.0","Fragrance Hotel - Classic(SG Clean) (Staycation Approved)","1352993","Balestier",NA,"139 people added to favourites","3.9","","48 reviews"
"3.0","Value Hotel Thomson Singapore (Staycation Approved)","687532","Balestier","Free Cancellation","3,099 people added to favourites","3.5","","247 reviews"
"2.0","Value Hotel Nice (Staycation Approved)","687556","Balestier","Free Cancellation","1,304 people added to favourites","3.8","","188 reviews"
"2.0","Value Hotel Balestier Singapore","687506","Balestier","Free Cancellation","1,748 people added to favourites","3.9","","168 reviews"
"3.0","Arton Boutique Hotel Singapore (Staycation Approved)","989485","Lavender",NA,"3,894 people added to favourites","4.0","Very Good","1,313 reviews"
"4.0","M Social Singapore (Staycation Approved)","4715430","Singapore River","Free Cancellation","Saved by 14.2k people","4.0","Very Good","1,533 reviews"
"5.0","Grand Copthorne Waterfront Singapore","909901","Singapore River",NA,"3,752 people added to favourites","4.1","Very Good","309 reviews"
"3.0","Days Hotel by Wyndham Singapore At Zhongshan Park (SG Clean)","991874","Balestier",NA,"Saved by 15k people","4.2","Very Good","558 reviews"
"5.0","Royal Plaza on Scotts","996055","Orchard Road",NA,"4,859 people added to favourites","4.4","Excellent","559 reviews"
"5.0","Conrad Centennial Singapore (Staycation Approved)","965250","Marina Bay","Free Cancellation","9,342 people added to favourites","4.8","Outstanding","352 reviews"
"5.0","Marina Bay Sands Singapore","687592","Marina Bay","Free Cancellation","Saved by 50.5k people","4.6","Outstanding","612 reviews"
"4.0","Village Hotel Bugis by Far East Hospitality (Staycation Approved)","996333","Bugis","Free Cancellation","4,294 people added to favourites","4.2","Very Good","719 reviews"
"4.0","Hotel Boss Singapore (Staycation Approved)","3801236","Lavender","Free Cancellation","Saved by 30.2k people","4.0","Very Good","2,986 reviews"
"5.0","voco Orchard Singapore, an IHG hotel","80508054","Orchard Road",NA,"178 people added to favourites","4.3","Excellent","62 reviews"
"5.0","Regent Singapore (SG Clean)","996317","Orchard Road","Free Cancellation","Saved by 14.6k people","4.3","Excellent","225 reviews"
"5.0","Amara Singapore (Staycation Approved)","995003","Chinatown","Free Cancellation","7,191 people added to favourites","3.9","","637 reviews"
"4.0","Furama RiverFront Singapore(SG Clean)","995051","Singapore River",NA,"2,927 people added to favourites","4.0","Very Good","98 reviews"
"4.0","Travelodge Harbourfront Singapore (Staycation Approved)","995010","Harbourfront","Free Cancellation","Saved by 30.8k people","4.2","Very Good","1,030 reviews"
"5.0","Ascott Raffles Place Singapore (SG Clean)","687490","Marina Bay","Free Cancellation","3,505 people added to favourites","4.4","Excellent","394 reviews"
"3.0","ST Signature Chinatown (SG Clean)","40611447","Chinatown",NA,"290 people added to favourites","4.0","Very Good","95 reviews"
"5.0","Carlton City Hotel Singapore (SG Clean)","1595036","Chinatown",NA,"Saved by 13.7k people","4.4","Excellent","255 reviews"
"4.0","Copthorne King’s Hotel on Havelock (SG Clean)","909895","Singapore River",NA,"4,286 people added to favourites","3.8","","133 reviews"
"5.0","Dusit Thani Laguna Singapore (Staycation Approved)","56369386","Singapore Changi Airport Region",NA,"233 people added to favourites","4.3","Excellent","140 reviews"
"5.0","Crowne Plaza Changi Airport Singapore (Staycation Approved)","1438301","Singapore Changi Airport Region",NA,"5,887 people added to favourites","4.6","Outstanding","432 reviews"
"4.0","Yotelair Singapore Changi Airport (Staycation Approved)","33756399","Singapore Changi Airport Region",NA,"2,457 people added to favourites","4.2","Very Good","957 reviews"
"4.0","D'Resort @ Downtown East","5296804","Singapore Changi Airport Region",NA,"1,997 people added to favourites","4.1","Very Good","148 reviews"
"4.0","Changi Cove Singapore (Staycation Approved)","1359628","Singapore Changi Airport Region",NA,"1,802 people added to favourites","3.9","","302 reviews"
"4.0","Santa Grand Hotel East Coast (Staycation Approved)","996289","East Coast",NA,"1,827 people added to favourites","4.2","Very Good","404 reviews"
"4.0","Hotel Indigo Singapore Katong (SG Clean), an IHG Hotel","5732631","East Coast",NA,"6,455 people added to favourites","4.7","Outstanding","43 reviews"
"3.0","Venue Hotel (Staycation Approved)","996328","East Coast","Free Cancellation","1,495 people added to favourites","3.9","","180 reviews"
"4.0","Grand Mercure Singapore Roxy (Staycation Approved)","1720148","East Coast","Free Cancellation","2,399 people added to favourites","4.3","Excellent","675 reviews"
"3.0","Venue Hotel the Lily (Staycation Approved)","687489","East Coast","Free Cancellation","1,484 people added to favourites","4.0","Very Good","214 reviews"
"3.0","Strand Hotel (Staycation Approved)","1882960","Bugis",NA,"1,226 people added to favourites","4.1","Very Good","249 reviews"
"4.0","Hotel G Singapore (Staycation Approved)(SG Clean)","928266","Bugis","Free Cancellation","Saved by 10.1k people","4.3","Excellent","1,351 reviews"
"4.0","Capri by Fraser Changi City Singapore (Staycation Approved)","687683","Singapore Changi Airport Region",NA,"5,761 people added to favourites","4.4","Excellent","604 reviews"
"2.0","Hotel 81 Changi (Staycation Approved)","7032771","East Coast","Free Cancellation","639 people added to favourites","3.4","","136 reviews"
"3.0","Hotel Classic by Venue Singapore (Staycation Approved)","687513","East Coast","Free Cancellation","624 people added to favourites","3.8","","103 reviews"
"2.0","Hotel 81 Tristar Singapore (Staycation Approved)","687499","East Coast","Free Cancellation","483 people added to favourites","3.3","","37 reviews"
"3.0","Aqueen Hotel Paya Lebar Singapore (Staycation Approved)(SG Clean)","2377341","Geylang",NA,"984 people added to favourites","4.3","Excellent","295 reviews"
"4.0","Furama City Centre Singapore(SG Clean)","995050",NA,NA,"4,444 people added to favourites","3.8","","497 reviews"
"3.0","New Cape Inn (Staycation Approved)","687761","Singapore River",NA,"1,188 people added to favourites","3.8","","176 reviews"
"4.0","Link Hotel Singapore","995077","Singapore River",NA,"3,673 people added to favourites","3.9","","56 reviews"
"3.0","Porcelain Hotel by JL Asia (Staycation Approved)","996044","Chinatown",NA,"8,997 people added to favourites","3.9","","473 reviews"
"4.0","Park Avenue Rochester (SG Clean)","687668","Queenstown",NA,"3,725 people added to favourites","4.2","Very Good","212 reviews"
"4.0","Relc International Hotel Singapore (Staycation Approved)","1406594","Orchard Road",NA,"2,384 people added to favourites","3.8","","123 reviews"
"4.0","JEN Singapore Tanglin by Shangri-La (SG Clean)","996324","Orchard Road","Free Cancellation","6,502 people added to favourites","4.2","Very Good","344 reviews"
"5.0","The Outpost Hotel Sentosa by Far East Hospitality (SG Clean)","25467000","Sentosa Island","Free Cancellation","5,912 people added to favourites","4.6","Outstanding","140 reviews"
"4.0","Dorsett Singapore (Staycation Approved)","995019","Chinatown",NA,"Saved by 20.4k people","4.1","Very Good","724 reviews"
"3.0","K Hotel 14 (Staycation Approved)","28870957","Geylang",NA,"443 people added to favourites","2.5","","68 reviews"
"4.0","Five/6 Hotel Splendour (Staycation Approved)","7042701","Geylang",NA,"3,507 people added to favourites","4.0","Very Good","371 reviews"
"5.0","Andaz Singapore – A Concept by Hyatt (Staycation Approved)","11491662","Bugis","Free Cancellation","4,834 people added to favourites","4.4","Excellent","144 reviews"
"3.0","The Quay Hotel Lavender(Staycation Approved)","68173444","Lavender",NA,"171 people added to favourites","3.6","","85 reviews"
"2.0","Hotel 81 Elegance Singapore (Staycation Approved)","687491","Lavender","Free Cancellation","818 people added to favourites","3.5","","75 reviews"
"3.0","The Noble Hotel Singapore (Staycation Approved)","4508010","Lavender",NA,"385 people added to favourites","3.1","","69 reviews"
"2.0","Hotel 81 Orchid Singapore (Staycation Approved)","687486","Geylang","Free Cancellation","3,084 people added to favourites","3.9","","305 reviews"
"5.0","The Westin Singapore (Staycation Approved)","687796","Marina Bay","Free Cancellation","6,424 people added to favourites","4.5","Excellent","106 reviews"
"4.0","Holiday Inn Singapore Orchard City Centre","1719489","Orchard Road","Free Cancellation","2,657 people added to favourites","4.3","Excellent","57 reviews"
"4.0","Hotel Grand Central Singapore (Staycation Approved)","1869381","Orchard Road",NA,"1,211 people added to favourites","3.9","","464 reviews"
"4.0","Capri by Fraser, China Square / Singapore (SG Clean)","31212318",NA,NA,"2,642 people added to favourites","4.5","Excellent","284 reviews"
"5.0","Capella Singapore (Staycation Approved)","995014","Sentosa Island",NA,"Saved by 10.2k people","4.6","Outstanding","159 reviews"
"5.0","Amara Sanctuary Resort Sentosa (Staycation Approved)","994990","Sentosa Island",NA,"Saved by 18k people","3.7","","605 reviews"
"5.0","The Barracks Hotel Sentosa by Far East Hospitality (Staycation Approved)","37412391","Sentosa Island","Free Cancellation","641 people added to favourites","4.8","Outstanding","69 reviews"
"5.0","ONE°15 Marina Sentosa Cove Singapore (Staycation Approved)","687728","Sentosa Island",NA,"2,999 people added to favourites","4.4","Excellent","356 reviews"
"5.0","Oasia Resort Sentosa by Far East Hospitality","68057612","Sentosa Island","Free Cancellation","217 people added to favourites","4.5","Excellent","98 reviews"
"5.0","Resorts World Sentosa - Equarius Villas","996052","Sentosa Island",NA,"8,631 people added to favourites","4.7","Outstanding","47 reviews"
"5.0","Resorts World Sentosa-Hotel Michael Singapore (Staycation Approved)","996049","Sentosa Island",NA,"9,960 people added to favourites","4.2","Very Good","563 reviews"
